"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\marti\CMPT\Projects\Kanban-planner\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\app.js", "JavaScript", 0, 14, 0, 0, 0, 3, 4, 21
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\controllers\tasksController.js", "JavaScript", 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\database\connection.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\models\tasks.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\routes\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 3, 7
"c:\Users\marti\CMPT\Projects\Kanban-planner\backend\routes\tasks.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\public\bundle.js", "JavaScript", 0, 1369, 0, 0, 0, 794, 769, 2932
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\public\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\Alerts.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\App.js", "JavaScript", 0, 62, 0, 0, 0, 0, 10, 72
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\components\Header.js", "JavaScript", 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\components\Modal.js", "JavaScript", 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\components\Task.js", "JavaScript", 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\components\TaskForm.js", "JavaScript", 0, 63, 0, 0, 0, 1, 15, 79
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\components\Tasks.js", "JavaScript", 0, 93, 0, 0, 0, 0, 7, 100
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\styles\style.css", "CSS", 0, 0, 0, 215, 0, 1, 41, 257
"c:\Users\marti\CMPT\Projects\Kanban-planner\frontend\src\validators.js", "JavaScript", 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\marti\CMPT\Projects\Kanban-planner\package-lock.json", "JSON", 33465, 0, 0, 0, 0, 0, 1, 33466
"c:\Users\marti\CMPT\Projects\Kanban-planner\package.json", "JSON", 64, 0, 0, 0, 0, 0, 1, 65
"c:\Users\marti\CMPT\Projects\Kanban-planner\webpack.config.js", "JavaScript", 0, 41, 0, 0, 0, 0, 1, 42
"Total", "-", 33529, 1872, 19, 215, 15, 799, 899, 37348